Date,entry_price,position,exit_price,p/l
2019-08-14,288.4560061645508,short,294.17999267578125,-572.3986511230464
2019-08-15,289.20339630126955,short,294.07000732421875,-486.66110229492006
2019-08-16,287.67418670654297,long and short,293.4857864379883,581.1599731445312
2019-08-19,291.1293072509766,long,289.6600036621094,-146.93035888672057
2019-08-20,288.87210845947266,long and short,294.7079086303711,583.5800170898438
2019-08-21,291.2381927490234,long,290.5,-73.81927490234261
2019-08-22,291.1293072509766,long,294.2799987792969,315.06915283202943
2019-08-23,289.33470123291016,short,294.2699890136719,-493.5287780761712
2019-08-26,292.5566036987305,short,292.4100036621094,14.66000366211233
2019-08-27,291.43548767089845,short,295.760009765625,-432.45220947265466
2019-08-28,293.40500000000003,short,299.6300048828125,-622.500488281247
2019-08-29,291.3371987915039,long and short,297.22279876708984,588.5599975585933
2019-08-30,291.32728912353514,long and short,297.2126889038086,588.5399780273474
2019-09-03,295.3341036987305,short,299.95001220703125,-461.59085083007767
2019-09-04,298.71760986328127,short,302.1199951171875,-340.2385253906232
2019-09-05,302.6263049316406,short,303.0799865722656,-45.36816406250068
2019-09-06,302.8282864379883,short,302.8699951171875,-4.170867919918919
2019-09-09,302.96970123291015,short,301.9800109863281,98.9690246582029
2019-09-10,302.94951232910154,short,302.7099914550781,23.95208740234125
2019-09-12,300.04918670654297,long,302.8900146484375,284.0827941894531
2019-09-17,299.68289154052735,long,297.510009765625,-217.28817749023506
2019-09-18,299.90069274902345,long,299.19000244140625,-71.06903076171989
2019-09-19,299.8611145019531,long,298.5899963378906,-127.11181640625
2019-09-20,298.2078012084961,long,297.0,-120.78012084961074
2019-09-23,298.3662048339844,long,298.5199890136719,15.378417968747726
2019-09-25,296.1981024169922,long,289.6300048828125,-656.8097534179685
2019-09-26,295.6040963745117,long,292.0400085449219,-356.40878295898233
2019-09-27,294.03,long and short,299.97,594.0000000000055
2019-09-30,295.5347891235352,long,294.69000244140625,-84.47866821289267
2019-10-01,291.9609036254883,long,290.1300048828125,-183.08987426757994
2019-10-02,286.73370483398435,long and short,292.52630493164065,579.2600097656305
2019-10-03,294.9604086303711,short,294.95001220703125,1.0396423339841476
2019-10-04,293.05978912353515,long and short,298.9801889038086,592.0399780273442
2019-10-07,291.7431024169922,long and short,297.6369024658203,589.3800048828098
2019-10-08,293.03130493164065,short,300.6199951171875,-758.8690185546852
2019-10-09,295.8088049316406,short,300.07000732421875,-426.1202392578127
2019-10-10,297.8995123291016,short,300.9100036621094,-301.0491333007792
2019-10-11,300.86891479492186,short,299.6000061035156,126.89086914062386
2019-10-14,300.6669024658203,short,301.75,-108.30975341796716
2019-10-18,302.5960061645508,short,303.30999755859375,-71.39913940429778
2019-10-21,304.7675,short,305.010009765625,-24.25097656250159
2019-10-22,303.7070123291016,short,304.9100036621094,-120.29913330077875
2019-10-23,304.58570739746096,short,305.8699951171875,-128.42877197265352
2019-10-24,305.13108520507814,short,304.9700012207031,16.108398437501137
2019-10-25,306.34309753417966,short,307.95001220703125,-160.69146728515875
2019-10-28,308.06010986328124,short,309.1099853515625,-104.98754882812591
2019-10-29,307.9591036987305,short,308.739990234375,-78.08865356445267
2019-10-30,308.9286950683594,short,308.8800048828125,4.869018554688864
2019-10-31,308.01970123291017,short,309.9800109863281,-196.03097534179597
2019-11-01,311.0295123291016,short,310.6700134277344,35.94989013672034
2019-11-11,313.2616036987305,short,313.75,-48.83963012695176
2019-11-12,313.7969024658203,short,313.67999267578125,11.690979003907387
2019-11-13,313.9685852050781,short,312.5199890136719,144.85961914062386
2019-11-14,314.4129876708984,short,312.07000732421875,234.2980346679667
2019-11-20,315.6451889038086,short,317.25,-160.48110961913835
2019-11-21,315.1907073974609,short,316.05999755859375,-86.92901611328239
2019-11-22,315.86739013671877,short,313.4100036621094,245.73864746093932
2019-11-25,311.94900604248045,long,311.25,-69.90060424804483
2019-11-26,312.57271087646484,long,313.17999267578125,60.72817993164108
2019-11-27,314.0775,long,313.8399963378906,-23.750366210936136
2019-11-29,312.8993975830078,long,316.6400146484375,374.0617065429717
2019-12-02,310.2759036254883,long and short,316.54410369873045,626.8200073242156
2019-12-03,314.3625,short,315.3699951171875,-100.74951171874886
2019-12-04,316.3117926025391,short,316.1700134277344,14.17791748046966
2019-12-05,316.9783963012695,short,318.9700012207031,-199.16049194335983
2019-12-06,319.80641479492186,short,319.0799865722656,72.64282226562386
2019-12-09,318.85701232910156,short,319.32000732421875,-46.29949951171852
2019-12-10,318.52369506835936,short,319.3500061035156,-82.63110351562659
2019-12-11,319.3317135620117,short,319.3699951171875,-3.8281555175785797
2019-12-13,322.2707864379883,short,322.3800048828125,-10.921844482419374
2019-12-16,322.5132073974609,short,322.6099853515625,-9.677795410158296
2019-12-17,322.54350616455076,short,322.6499938964844,-10.648773193361194
2019-12-18,322.5636950683594,short,324.32000732421875,-175.63122558593705
2019-12-19,323.94739013671875,short,324.260009765625,-31.261962890624773
2019-12-24,325.8764938354492,short,326.32000732421875,-44.3513488769554
2019-12-30,325.73510986328125,short,324.20001220703125,153.50976562500023
2019-12-31,326.47239013671873,short,325.8500061035156,62.238403320310454
2020-01-02,323.05680725097653,long,328.04998779296875,499.3180541992217
2020-01-03,327.0480975341797,short,327.1400146484375,-9.191711425779658
2020-01-06,328.34089630126954,short,329.42999267578125,-108.90963745117119
2020-01-07,327.44201232910154,short,328.9200134277344,-147.80010986328307
2020-01-08,329.10850616455076,short,329.6600036621094,-55.14974975586142
2020-01-09,331.33048767089844,short,332.3999938964844,-106.95062255859398
2020-01-10,330.4114147949219,short,333.5,-308.8585205078118
2020-01-13,332.72429260253904,short,332.7799987792969,-5.570617675783751
